metric,baseline,improved,absolute_delta,percentage_point_delta,relative_improvement_pct
Mean Foreground Dice,0.6869214177131653,0.7004164457321167,0.013495028018951416,1.3495028018951416,1.9645664949387958
Mean Foreground IoU,0.5895281434059143,0.6040287613868713,0.014500617980957031,1.4500617980957031,2.459699022540602
